"﻿Emp ID","First Name","Last Name","Gender","E Mail","Date of Birth","Salary","Phone No. ","County","City"
"850297","Shawna","Buck","F","shawna.buck@gmail.com","12/12/1971","119090","702-771-7149","Clark","Las Vegas"
"304721","Nathaniel","Burke","M","nathaniel.burke@walmart.com","10/31/1993","117991","231-765-6923","Lake","Irons"
"412317","Elisabeth","Foster","F","elisabeth.foster@gmail.com","11/26/1994","161045","270-749-4774","Fayette","Lexington"
"621375","Briana","Lancaster","F","briana.lancaster@yahoo.com","11/24/1975","142616","219-623-8216","Lake","Munster"
"787549","Estella","Potter","F","estella.potter@gmail.com","3/13/1995","135706","907-677-8486","Fairbanks North Star","Fairbanks"
"520092","Lamont","Woods","M","lamont.woods@hotmail.com","10/13/1991","173027","236-597-8196","Loudoun","Purcellville"
"795934","Melinda","Lopez","F","melinda.lopez@hotmail.com","9/15/1984","41287","210-396-1493","Chambers","Stowell"
"159108","Shanna","Silva","F","shanna.silva@gmail.com","6/19/1958","85833","236-373-6712","Fairfax","Herndon"
"330816","Jasmine","Freeman","F","jasmine.freeman@gmail.com","8/31/1961","154216","423-796-1535","Polk","Ocoee"
"532002","Madge","Sargent","F","madge.sargent@aol.com","10/2/1981","133003","217-910-0644","Sangamon","Springfield"
"612850","Bethany","Cline","F","bethany.cline@yahoo.ca","10/1/1986","154836","215-970-5881","Lycoming","Montgomery"
"483751","Reid","Randolph","M","reid.randolph@gmail.com","1/20/1989","124757","209-996-8902","Los Angeles","Pacoima"
"252938","Antoine","Wiley","M","antoine.wiley@verizon.net","2/22/1996","58733","503-361-6334","Clackamas","Canby"
"966375","Mathew","Hodge","M","mathew.hodge@hotmail.com","7/5/1995","75584","209-294-7430","Los Angeles","Van Nuys"
"707520","Bernardo","Austin","M","bernardo.austin@hotmail.com","2/2/1975","118693","319-716-4227","Marion","Knoxville"
"673049","Cole","Jensen","M","cole.jensen@aol.com","2/10/1990","98381","405-495-4201","Oklahoma","Oklahoma City"
"265124","Tonia","Burns","F","tonia.burns@gmail.com","4/19/1985","102274","209-631-5424","Fresno","Friant"
"300693","Tod","Holcomb","M","tod.holcomb@outlook.com","6/21/1987","91719","240-364-4220","St. Mary's","Patuxent River"
"369712","Yesenia","Guerrero","F","yesenia.guerrero@btinternet.com","3/29/1968","150016","240-505-5321","Baltimore","Reisterstown"
"913253","Carey","Ferrell","M","carey.ferrell@yahoo.com","5/22/1972","125232","212-495-4523","Greene","New Baltimore"
"308617","Aileen","Blanchard","F","aileen.blanchard@gmail.com","12/5/1986","179264","308-788-3843","Washington","Herman"
"766783","Marta","Cervantes","F","marta.cervantes@gmail.com","2/17/1971","68134","206-858-9176","Grays Harbor","Hoquiam"
"959506","Arthur","Holloway","M","arthur.holloway@aol.com","9/21/1970","118621","225-832-0451","Winn","Dodson"
"513011","Tara","Forbes","F","tara.forbes@gmail.com","6/26/1976","85864","319-249-4281","O'Brien","Sheldon"
"290808","Josef","Griffin","M","josef.griffin@yahoo.com","8/14/1976","98030","209-441-9130","Sacramento","Sacramento"
"253588","Keri","Slater","F","keri.slater@apple.com","8/3/1960","149842","207-842-2965","Knox","Friendship"
"865628","Desmond","Wynn","M","desmond.wynn@hotmail.com","7/9/1992","79476","209-319-3405","Fresno","Fresno"
"583924","Adrienne","Puckett","F","adrienne.puckett@verizon.net","5/22/1975","105366","209-235-0390","San Mateo","Burlingame"
"932453","Beatriz","Knowles","F","beatriz.knowles@gmail.com","2/25/1984","53311","406-923-1326","Lake","Arlee"
"432168","Jermaine","Sykes","M","jermaine.sykes@apple.com","1/18/1990","122631","239-204-8747","Putnam","Welaka"
"463784","Scott","Best","M","scott.best@cox.net","8/24/1990","45210","307-504-4165","Sweetwater","Bairoil"
"721098","Isabel","Espinoza","F","isabel.espinoza@gmail.com","12/9/1971","115858","405-622-8606","Coal","Tupelo"
"392678","Marcelino","Kinney","M","marcelino.kinney@gmail.com","1/26/1996","178750","479-929-0873","Little Rock","Little Rock"
"880704","Benjamin","Jennings","M","benjamin.jennings@gmail.com","5/21/1977","115574","907-621-7774","Northwest Arctic","Shungnak"
"186102","Marcia","Casey","F","marcia.casey@gmail.com","7/24/1966","118607","210-804-3397","Victoria","Victoria"
"350367","Rudolph","Gordon","M","rudolph.gordon@aol.com","4/28/1979","98990","304-418-1131","Harrison","Shinnston"
"893976","Beverly","Rosales","F","beverly.rosales@yahoo.com","3/4/1975","139394","217-490-8205","Vermilion","Rossville"
